RBD,NOM_RBD,NOM_COM_RBD,lon,lat,Zona
7946,ESCUELA PARTICULAR N. 224 PICHI MAULE,FRESIA,-73.4646452,-41.0233888,Zona Austral
7948,ESCUELA PARTICULAR N. 226 LAS CUYAS,FRESIA,-73.4163343,-41.15,Zona Austral
7949,ESCUELA PARTICULAR N. 227 EL TRAIGUEN,FRESIA,-72.6778208,-38.2460376,Zona Sur
7950,ESCUELA PARTICULAR N. 228 EL PATO DE LLICO,FRESIA,-73.4163343,-41.15,Zona Austral
7952,ESCUELA PARTICULAR N. 230 LA ESPERANZA,FRESIA,-73.4163343,-41.15,Zona Austral
7953,ESCUELA PARTICULAR N. 231 SAN ANTONIO,FRESIA,-71.6055123,-33.5922807,Zona Central
7956,LICEO POLITECNICO HOLANDA,LLANQUIHUE,-72.9979965,-41.2691174,Zona Austral
7958,ESCUELA INES GALLARDO ALVARADO,LLANQUIHUE,-73.0075356,-41.2524289,Zona Austral
7959,ESCUELA BASICA GABRIELA MISTRAL,LLANQUIHUE,-72.9969998,-41.2687177,Zona Austral
7961,ESCUELA RURAL LOS PELLINES,LLANQUIHUE,-73.0665349,-41.1914223,Zona Austral
7962,ESCUELA RURAL LONCOTORO,LLANQUIHUE,-73.1993323,-41.2925788,Zona Austral
7966,ESCUELA RURAL LINEA SOLAR,LLANQUIHUE,-73.2553448,-41.2926077,Zona Austral
7967,ESCUELA RURAL COLEGUAL,LLANQUIHUE,-73.239696,-41.2211914,Zona Austral
7968,ESCUELA RURAL COLIGUAL SAN JUAN,LLANQUIHUE,-73.239696,-41.2211914,Zona Austral
7970,ESCUELA PARTICULAR N.239 LOS VOLCANES,LLANQUIHUE,-72.9952321,-41.2718752,Zona Austral
7973,LICEO INDUSTRIAL CHILENO-ALEMAN,FRUTILLAR,-73.0323437,-41.1321079,Zona Austral
7975,ESCUELA ARTURO ALESSANDRI PALMA,FRUTILLAR,-73.0596399,-41.1235708,Zona Austral
7976,ESCUELA BERNARDO PHILIPPI,FRUTILLAR,-73.0277827,-41.1337138,Zona Austral
7977,ESCUELA RURAL LOS LINARES DE CASMA,FRUTILLAR,-71.5996137,-35.846407,Zona Central
7978,ESCUELA RURAL MARIO PEREZ NAVARRO,FRUTILLAR,-73.048433,-41.1166177,Zona Austral
7982,ESCUELA RURAL PARAGUAY,FRUTILLAR,-73.2439136,-41.0747583,Zona Austral
7987,ESCUELA CARLOS SPRINGER NIKLITSCHEK,FRUTILLAR,-73.0496952,-41.112498,Zona Austral
7989,ESCUELA PARTICULAR N. 244 MADRE DE DIOS,FRUTILLAR,-73.0572334,-41.1271087,Zona Austral
7990,ESCUELA RURAL COLONIA SAN MARTIN,FRUTILLAR,-73.0665349,-41.1914223,Zona Austral
7992,COLEGIO ICEBERG,CALBUCO,-73.4642281,-41.7910435,Zona Austral
7993,ESCUELA PARTICULAR N. 240 LA HUACHA,FRUTILLAR,-73.0496952,-41.112498,Zona Austral
7994,ESCUELA PARTICULAR N.241 LA PAZ,FRUTILLAR,-73.0506808,-41.1187036,Zona Austral
7996,ESCUELA PARTICULAR N.245 SANTA ANA,FRUTILLAR,-73.0496952,-41.112498,Zona Austral
7998,ESCUELA PARTICULAR N.247 EL RETAMO,FRUTILLAR,-73.3328055,-41.1000326,Zona Austral
8000,INSTITUTO ALEMAN DE FRUTILLAR,FRUTILLAR,-73.0275548,-41.1299277,Zona Austral
8001,LICEO POLITECNICO DE CASTRO,CASTRO,-73.7693941,-42.4798313,Zona Austral
8002,LICEO GALVARINO RIVEROS CARDENAS,CASTRO,-73.7639747,-42.4842694,Zona Austral
8003,ESCUELA LUIS URIBE DIAZ,CASTRO,-73.763746,-42.4798907,Zona Austral
8004,ESCUELA INES MUNOZ DE GARCIA,CASTRO,-73.7638744,-42.4801241,Zona Austral
8005,ESCUELA AYTUE,CASTRO,-73.7758995,-42.4717484,Zona Austral
8006,ESCUELA RURAL PEDRO VELAZQUEZ BONTES,CASTRO,-73.762001,-42.4805667,Zona Austral
8010,ESCUELA RURAL CURAHUE,CASTRO,-73.6813077,-42.5501671,Zona Austral
8012,ESCUELA RURAL ANA NELLY OYARZUN CARTES,CASTRO,-73.7848821,-42.5017656,Zona Austral
8013,ESCUELA RURAL MIRTA OYARZO VERA,CASTRO,-73.7836425,-42.4826116,Zona Austral
8014,ESCUELA RURAL MANUELA CARDENAS BARRIA,CASTRO,-73.4386143,-42.6210701,Zona Austral
8019,ESCUELA RURAL QUILQUICO,CASTRO,-73.7020158,-42.4698004,Zona Austral
8020,ESCUELA RURAL PAUL HARRIS,CASTRO,-116.8803324,32.513523,Norte Grande
8021,ESCUELA RURAL PUACURA,CASTRO,-73.6675938,-42.4423218,Zona Austral
8023,ESCUELA DE ADULTOS DE CASTRO,CASTRO,-122.0710874,37.7079641,Norte Grande
8027,ESCUELA RURAL OLINDA BORQUEZ BORQUEZ,CASTRO,-110.9603621,29.0834761,Norte Grande
8029,ESCUELA RURAL LLICALDAD,CASTRO,-73.762001,-42.4805667,Zona Austral
8030,ESCUELA RURAL GAMBOA,CASTRO,-73.762001,-42.4805667,Zona Austral
8031,ESCUELA RURAL LA CHACRA,CASTRO,-73.762001,-42.4805667,Zona Austral
8032,ESCUELA RURAL INES BAZAN,CASTRO,-73.6675938,-42.4423218,Zona Austral
8033,ESCUELA RURAL LA ESTANCIA,CASTRO,-70.0241417,18.6754418,Norte Grande
8036,ESCUELA RURAL LOS ANGELES,CASTRO,-118.2628367,34.0614859,Norte Grande
8037,ESCUELA RURAL LOS ROBLES,CASTRO,-73.5189421,-42.5847686,Zona Austral
8038,ESCUELA RURAL SAN MIGUEL,CASTRO,-117.1111943,32.4567064,Norte Grande
8040,ESCUELA RURAL CAPILLA DE LOURDES,CASTRO,-110.9501094,32.2318851,Norte Grande
8044,LICEO DOMINGO ESPINEIRA RIESCO,ANCUD,-73.8175022,-41.8669433,Zona Austral
8046,ESCUELA PUDETO,ANCUD,-73.8061645,-41.8733896,Zona Austral
8047,ESCUELA ANEXA,ANCUD,-73.8177567,-41.8668985,Zona Austral
8048,ESCUELA YERBAS BUENAS,ANCUD,-73.824483,-41.871149,Zona Austral
8049,ESCUELA RURAL VILLA CHACAO,ANCUD,-73.8282563,-41.8638581,Zona Austral
8050,ESCUELA FATIMA,ANCUD,-73.8313698,-41.8767382,Zona Austral
8051,ESCUELA RURAL EL PALOMAR,ANCUD,-73.7824413,-42.0739783,Zona Austral
8053,ESCUELA RURAL SENDA CHACAO,ANCUD,-73.7925949,-41.8794364,Zona Austral
8054,ESCUELA RURAL MANAO,ANCUD,-73.5316404,-41.8832323,Zona Austral
8060,ESCUELA RURAL GOLFETE DE QUETALMAHUE,ANCUD,-73.93116,-41.8203497,Zona Austral
8061,ESCUELA RURAL PUNTA CHILEN,ANCUD,-73.4846653,-41.8989734,Zona Austral
8063,ESCUELA RURAL LA CAPILLA,ANCUD,-73.7786859,-41.9100575,Zona Austral
8066,ESCUELA RURAL CATRUMAN,ANCUD,-73.7786859,-41.9100575,Zona Austral
8071,ESCUELA RURAL NAL,ANCUD,-73.7925949,-41.8794364,Zona Austral
8075,ESCUELA RURAL QUILAR,ANCUD,-73.8276965,-41.8675002,Zona Austral
8080,ESCUELA RURAL COGOMO,ANCUD,-73.7786859,-41.9100575,Zona Austral
8081,ESCUELA RURAL CAYUCAN,ANCUD,-73.7925949,-41.8794364,Zona Austral
8082,ESCUELA RURAL CUMBRE DE LECAM,ANCUD,-73.5676108,-41.9419133,Zona Austral
8083,ESCUELA RURAL FELIPE SANTANA,ANCUD,-73.8246804,-41.8719467,Zona Austral
